Employer,Title,Salary,Location,Start Date
FACEBOOK INC,DATA SCIENTIST,"180,000","MENLO PARK, CA",8/27/2018
FACEBOOK INC,DATA SCIENTIST,"180,000","MENLO PARK, CA",9/3/2018
VF SERVICES LLC,DATA SCIENTIST,"180,000","ALAMEDA, CA",4/30/2018
FACEBOOK INC,DATA SCIENTIST,"180,000","MENLO PARK, CA",7/23/2018
FACEBOOK INC,DATA SCIENTIST,"180,000","MENLO PARK, CA",2/27/2017
WAL-MART ASSOCIATES INC,DATA SCIENTIST - SEARCH / RELEVANCE,"180,000","SUNNYVALE, CA",6/18/2018
EBAY INC,DATA SCIENTIST 2,"180,000","BRISBANE, CA",9/14/2016
LUMOS LABS INC,SENIOR DATA SCIENTIST,"180,000","SAN FRANCISCO, CA",11/13/2017
SALESFORCECOM INC,SENIOR DATA SCIENTIST,"180,000","SAN FRANCISCO, CA",1/19/2015
BIRCHBOX INC,SENIOR DATA SCIENTIST,"180,000","NEW YORK, NY",3/28/2015
DATAMINR INC,SENIOR DATA SCIENTIST,"180,000","NEW YORK, NY",3/9/2015
VACO SAN FRANCISCO LLC,SR. DATA SCIENTIST,"180,000","MOUNTAIN VIEW, CA",9/15/2018
VACO SAN FRANCISCO LLC,SR. DATA SCIENTIST,"180,000","MOUNTAIN VIEW, CA",8/23/2017
GRUBHUB HOLDINGS INC,LEAD DATA SCIENTIST,"180,000","HILLSBOROUGH, NJ",8/7/2017
GRUBHUB HOLDINGS INC,LEAD DATA SCIENTIST,"180,000","NEW YORK, NY",7/18/2016
OPENTABLE INC,PRINCIPAL DATA SCIENCE ENGINEER,"180,000","SAN FRANCISCO, CA",9/13/2016
WAL-MART ASSOCIATES INC,PRINCIPAL DATA SCIENTIST,"180,000","SAN BRUNO, CA",4/24/2017
WAL-MART ASSOCIATES INC,"PRINCIPAL DATA SCIENTIST, INFORMATION SECURITY","180,000","SUNNYVALE, CA",11/17/2014
APPLE INC,MACHINE LEARNING ENG 4,"180,000","CUPERTINO, CA",1/2/2017
APPLE INC,MACHINE LEARNING ENG 4,"180,000","SEATTLE, WA",9/18/2017
APPLE INC,MACHINE LEARNING ENG 5,"180,000","CUPERTINO, CA",7/2/2018
APPLE INC,MACHINE LEARNING ENGINEER,"180,000","CUPERTINO, CA",1/29/2018
APPLE INC,MACHINE LEARNING ENGINEER,"180,000","CUPERTINO, CA",5/14/2018
CURAI INC,MACHINE LEARNING ENGINEER,"180,000","PALO ALTO, CA",9/14/2018
KENSHO TECHNOLOGIES INC,MACHINE LEARNING ENGINEER AND DATA SCIENTIST,"180,000","CAMBRIDGE, MA",9/1/2018
THREDUP INC,MACHINE LEARNING ENGINEER-RELEVANCE PLATFORM,"180,000","SAN FRANCISCO, CA",7/15/2018
THREDUP INC,MACHINE LEARNING ENGINEER-RELEVANCE PLATFORM,"180,000","SAN FRANCISCO, CA",7/15/2018
MICROSOFT CORPORATION,SENIOR DATA SCIENTIST,"178,839","REDMOND, WA",12/22/2017
AIRBNB INC,DATA SCIENTIST,"178,541","SAN FRANCISCO, CA",8/1/2018
DRAWBRIDGE INC,SR. DATA SCIENTIST,"178,000","SAN MATEO, CA",9/1/2018
ADARA MEDIA INC,SR. DATA SCIENTIST- OPTIMIZATION,"178,000","MOUNTAIN VIEW, CA",10/1/2014
MICROSOFT CORPORATION,SENIOR DATA SCIENTIST,"177,085","SUNNYVALE, CA",10/2/2017
GLASSDOOR INC,MACHINE LEARNING ARCHITECT,"177,000","SAN FRANCISCO, CA",8/22/2016
STRATEGIC STAFFING SOLUTIONS LC,SENIOR DATA SCIENCE CONSULTANT,"176,800","CHARLOTTE, NC",7/2/2018
